lsoa,hospitality_industry_share,shiftwork_industry_share
E01000407,0.05714285714285714,0.2153846153846154
E01000408,0.042704626334519574,0.3084223013048636
E01000409,0.04842342342342342,0.22635135135135137
E01000410,0.034753363228699555,0.21524663677130046
E01000411,0.03333333333333333,0.22133333333333333
E01000412,0.04746835443037975,0.21940928270042193
E01000413,0.03463203463203463,0.23088023088023085
E01000414,0.06855277475516866,0.21001088139281826
E01000415,0.04702627939142462,0.1950207468879668
E01000416,0.06420765027322405,0.33469945355191255
E01000417,0.045012165450121655,0.27007299270072993
E01000418,0.05042016806722689,0.2899159663865546
E01000419,0.033093525179856115,0.2489208633093525
E01000420,0.02606310013717421,0.23045267489711935
E01000421,0.02021563342318059,0.22911051212938005
E01000422,0.06866197183098592,0.2975352112676056
E01000423,0.02763157894736842,0.17236842105263156
E01000424,0.026558891454965358,0.17090069284064663
E01000425,0.026151930261519303,0.161892901618929
E01000426,0.036065573770491806,0.17486338797814208
E01000427,0.04362050163576881,0.19629225736095965
E01000428,0.053927315357561546,0.20984759671746775
E01000429,0.04551724137931035,0.30344827586206896
E01000430,0.03420523138832998,0.27464788732394363
E01000431,0.01642710472279261,0.3039014373716632
E01000433,0.0524390243902439,0.3060975609756098
E01000434,0.06332842415316642,0.35198821796759944
E01000435,0.039097744360902256,0.31278195488721805
E01000436,0.021965317919075144,0.2208092485549133
E01000437,0.04341736694677871,0.24089635854341737
E01000438,0.04791929382093316,0.30012610340479196
E01000439,0.060653188180404355,0.2581648522550545
E01000440,0.025073746312684365,0.24926253687315633
E01000441,0.028169014084507043,0.2752880921895007
E01000442,0.031746031746031744,0.24175824175824173
E01000443,0.02936630602782071,0.241112828438949
E01000444,0.022280471821756225,0.17955439056356487
E01000445,0.022929936305732482,0.20636942675159237
E01000446,0.028639618138424822,0.2159904534606205
E01000447,0.05308056872037915,0.17156398104265402
E01000448,0.03605015673981191,0.17084639498432602
E01000449,0.011428571428571429,0.1542857142857143
E01000450,0.03002309468822171,0.2702078521939954
E01000451,0.036996735582154515,0.264417845484222
E01000452,0.0267515923566879,0.2318471337579618
E01000453,0.04221635883905013,0.19393139841688656
E01000454,0.036989795918367346,0.2895408163265306
E01000455,0.05592841163310962,0.2595078299776286
E01000456,0.03419972640218878,0.19425444596443228
E01000457,0.06097560975609756,0.19324577861163228
E01000458,0.027941176470588237,0.175
E01000459,0.049338146811071,0.21540312876052947
E01000460,0.030694668820678513,0.16801292407108237
E01000461,0.02608695652173913,0.18757763975155278
E01000462,0.046169989506820566,0.1888772298006296
E01000463,0.0218408736349454,0.2090483619344774
E01000464,0.04420731707317073,0.3094512195121951
E01000465,0.05817174515235457,0.3074792243767313
E01000466,0.0620782726045884,0.3211875843454791
E01000467,0.05379310344827586,0.3020689655172414
E01000468,0.05378020265003897,0.2681215900233827
E01000469,0.04836759371221282,0.313180169286578
E01000470,0.06534653465346535,0.3386138613861386
E01000471,0.06441048034934498,0.361353711790393
E01000472,0.0722495894909688,0.3234811165845649
E01000473,0.055944055944055944,0.3916083916083916
E01000474,0.047747747747747746,0.3864864864864865
E01000475,0.063913470993117,0.4021632251720747
E01000476,0.05473098330241188,0.37662337662337664
E01000477,0.0587248322147651,0.401006711409396
E01000478,0.0575,0.3516666666666667
E01000479,0.05056890012642225,0.2831858407079646
