lsoa,deprived_1plus_share,deprived_2plus_share
E01004715,0.5567632850241546,0.178743961352657
E01004716,0.34398496240601506,0.07142857142857142
E01004717,0.36764705882352944,0.07352941176470588
E01004718,0.5916561314791403,0.25916561314791403
E01004719,0.5941101152368758,0.2880921895006402
E01004720,0.6137689614935823,0.28004667444574094
E01004721,0.6921241050119332,0.36634844868735084
E01004722,0.7488479262672811,0.4055299539170507
E01004723,0.6143451143451143,0.28794178794178793
E01004724,0.4528735632183908,0.12988505747126436
E01004725,0.5238907849829352,0.24573378839590443
E01004726,0.38209331651954603,0.09709962168978563
E01004727,0.3764705882352941,0.06797385620915032
E01004728,0.4863013698630137,0.17534246575342466
E01004729,0.6200814111261872,0.32700135685210313
E01004730,0.37679083094555876,0.08595988538681948
E01004731,0.32883317261330763,0.06750241080038573
E01004732,0.6685962373371924,0.3342981186685962
E01004733,0.3456659619450317,0.09408033826638477
E01004734,0.4950199203187251,0.17928286852589642
E01004735,0.4488734835355286,0.16464471403812825
E01004736,0.3373702422145329,0.058823529411764705
E01004737,0.5274542429284526,0.19966722129783693
E01004740,0.6732522796352584,0.30547112462006076
E01004741,0.5960960960960962,0.2222222222222222
E01004742,0.42492917847025496,0.1359773371104816
E01004743,0.5587828492392808,0.2074688796680498
E01004744,0.5197278911564626,0.2054421768707483
E01004746,0.6973293768545994,0.35756676557863504
E01004747,0.4637404580152672,0.2032442748091603
E01004748,0.37957610789980734,0.1001926782273603
E01004749,0.38783269961977185,0.09885931558935361
E01004750,0.5392857142857143,0.21785714285714286
E01004751,0.4025974025974026,0.11428571428571428
E01004752,0.5347517730496454,0.2297872340425532
E01004753,0.44685466377440347,0.1561822125813449
E01004754,0.7496318114874816,0.4005891016200295
E01004755,0.5504032258064516,0.26713709677419356
E01004756,0.5488621151271754,0.20214190093708165
E01004757,0.6709470304975923,0.3146067415730337
E01004760,0.5659025787965616,0.2492836676217765
E01004761,0.35294117647058826,0.11477761836441894
E01004762,0.44502617801047123,0.1256544502617801
E01004763,0.4673231871083259,0.1548791405550582
E01004765,0.4349904397705545,0.1491395793499044
E01032512,0.7200447928331467,0.4053751399776036
E01032513,0.7062146892655368,0.3766478342749529
E01032562,0.6312399355877617,0.2560386473429952
E01032563,0.43462897526501765,0.09363957597173145
E01032564,0.6321138211382114,0.2886178861788618
E01032565,0.656198347107438,0.2975206611570248
E01032566,0.596,0.22266666666666668
E01032567,0.5309882747068677,0.18425460636515914
E01032568,0.5600624024960998,0.2589703588143526
E01032569,0.6539589442815249,0.30791788856304986
E01032570,0.5150273224043715,0.1325136612021858
E01032572,0.3751651254953765,0.10435931307793923
E01032573,0.37028824833702884,0.10864745011086474
E01032574,0.6791907514450867,0.2846820809248555
E01032575,0.6873111782477341,0.32628398791540786
E01032576,0.45436893203883494,0.11067961165048544
E01032577,0.4909688013136289,0.1510673234811166
E01032579,0.5508735868448099,0.21788283658787255
E01032580,0.6460905349794238,0.29012345679012347
E01032581,0.5814266487213997,0.23014804845222073
E01032582,0.4755364806866953,0.15622317596566523
E01032583,0.5076252723311547,0.16993464052287582
E01032584,0.5530035335689046,0.1872791519434629
E01032623,0.35927152317880795,0.07781456953642384
E01032637,0.2938053097345133,0.05132743362831858
E01032638,0.2696817420435511,0.031825795644891124
E01032639,0.4099616858237548,0.12899106002554278
E01032640,0.29064039408866993,0.021346469622331693
E01032646,0.34739454094292804,0.0880893300248139
E01032719,0.48507462686567165,0.18034825870646767
E01032739,0.30489192263936293,0.03981797497155859
E01032740,0.33181299885974913,0.055872291904218926
E01032741,0.5438356164383562,0.19863013698630136
E01032742,0.4993983152827918,0.1901323706377858
E01032743,0.6039119804400978,0.2396088019559902
E01032744,0.6254826254826255,0.27606177606177607
E01032764,0.476280834914611,0.18785578747628084
E01032765,0.5365853658536586,0.22899728997289973
E01032767,0.3666245259165613,0.08723135271807839
E01032768,0.35276967930029157,0.0641399416909621
E01032769,0.3746031746031746,0.1
E01032770,0.4123616236162362,0.11900369003690037
E01032771,0.37628865979381443,0.07474226804123711
E01032772,0.47837150127226463,0.13401187446988974
E01032774,0.510958904109589,0.20684931506849316
E01032775,0.37300177619893427,0.07104795737122557
E01032776,0.4462416745956232,0.10180780209324453
E01032777,0.41391304347826086,0.15478260869565216
E01032779,0.3618320610687023,0.09312977099236641
E01032780,0.3538156590683845,0.0753221010901883
E01032781,0.3876478318002628,0.1314060446780552
E01032782,0.36860670194003525,0.10934744268077601
E01032783,0.540447504302926,0.2099827882960413
E01032784,0.44161073825503355,0.15570469798657718
E01032785,0.3908382066276803,0.1276803118908382
E01032786,0.644122383252818,0.2882447665056361
E01032787,0.6739690721649485,0.3440721649484536
