MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total
E02000277,0.0,0.0,515.09611,320.05282,320.05282,515.09611
E02000278,268.1745050997,816.585126236104,695.85197,548.83946,817.0139650997,1512.437096236104
E02000279,0.0,0.0,728.32079,455.42923,455.42923,728.32079
E02000280,0.0,0.0,567.68641,398.14786999999995,398.14786999999995,567.68641
E02000281,0.0,0.0,474.49924,257.30678,257.30678,474.49924
E02000282,0.0,0.0,1683.9675300000001,1169.5659799999999,1169.5659799999999,1683.9675300000001
E02000283,0.0,0.0,353.34192,189.10383000000002,189.10383000000002,353.34192
E02000284,540.9250857295413,1572.2743264968453,782.04638,679.02766,1219.9527457295412,2354.3207064968456
E02000285,0.0,0.0,128.76251,74.25541,74.25541,128.76251
E02000286,0.0,0.0,387.91028,297.8478,297.8478,387.91028
E02000287,315.7376606,1027.40655648,325.84975,290.2355,605.9731606,1353.2563064800001
E02000288,0.0,0.0,2325.01517,2202.77314,2202.77314,2325.01517
E02000289,0.0,0.0,163.27354,106.70182999999999,106.70182999999999,163.27354
E02000290,0.0,0.0,332.52013,320.71002,320.71002,332.52013
E02000291,365.4014902246813,1228.493862389668,1567.9538,1946.66414,2312.0656302246816,2796.447662389668
E02000292,354.362048822,745.1301476440001,1174.77832,950.7488,1305.110848822,1919.908467644
E02000293,0.0,0.0,537.38216,373.08237,373.08237,537.38216
E02000294,0.0,0.0,1060.50466,664.07652,664.07652,1060.50466
E02000295,0.0,0.0,294.60222,202.4323,202.4323,294.60222
E02000296,1245.5389821600002,4731.397897791,1617.72127,2334.53009,3580.0690721600004,6349.119167791
E02000297,0.0,0.0,701.0503,530.99682,530.99682,701.0503
E02000298,0.0,0.0,467.9273,325.31272,325.31272,467.9273
E02000299,0.0,0.0,1226.73483,812.71422,812.71422,1226.73483
E02000300,0.0,0.0,192.74875,145.30766,145.30766,192.74875
E02000301,0.0,0.0,922.45173,590.01776,590.01776,922.45173
E02000302,0.0,0.0,155.17847,77.62156,77.62156,155.17847
E02000303,737.1877977125,1653.101277162,443.61479999999995,321.97069,1059.1584877125001,2096.716077162
E02000304,0.0,0.0,284.42672999999996,187.53037999999998,187.53037999999998,284.42672999999996
E02000305,0.0,0.0,546.15087,503.58708,503.58708,546.15087
E02000306,1004.11353879802,2759.1783513,5684.23213,5048.36779,6052.4813287980205,8443.410481300001
E02000307,0.0,0.0,1178.99605,682.6356,682.6356,1178.99605
E02000308,692.930968319214,2302.261180504,1530.45482,1693.63145,2386.562418319214,3832.716000504
E02000309,0.0,0.0,4166.98411,3984.55783,3984.55783,4166.98411
E02000311,0.0,0.0,1747.46476,932.92236,932.92236,1747.46476
E02000312,0.0,0.0,2694.68495,1723.2930999999999,1723.2930999999999,2694.68495
E02000313,0.0,0.0,1170.21333,594.9653999999999,594.9653999999999,1170.21333
E02000314,0.0,0.0,2507.92893,1432.68967,1432.68967,2507.92893
E02000315,2743.8462225501403,11878.785192246802,870.70154,701.00412,3444.8503425501403,12749.486732246802
E02000316,5751.450170162567,15423.715845374198,5694.06408,7412.5040500000005,13163.954220162566,21117.779925374198
E02000317,0.0,0.0,1251.84037,740.29359,740.29359,1251.84037
E02000318,0.0,0.0,2441.66748,1824.29281,1824.29281,2441.66748
E02000319,0.0,0.0,2172.74855,1267.5066199999999,1267.5066199999999,2172.74855
E02000320,0.0,0.0,996.6581100000001,553.08966,553.08966,996.6581100000001
E02000321,0.0,0.0,559.6806,443.50782000000004,443.50782000000004,559.6806
E02000323,0.0,0.0,5969.69856,7904.27553,7904.27553,5969.69856
E02000324,0.0,0.0,963.6543,485.5977,485.5977,963.6543
E02000326,0.0,0.0,795.64016,417.6941,417.6941,795.64016
E02000327,0.0,0.0,1269.77006,1170.34552,1170.34552,1269.77006
E02000328,0.0,0.0,1534.92001,1048.79654,1048.79654,1534.92001
E02000329,0.0,0.0,1062.02613,443.13091000000003,443.13091000000003,1062.02613
E02000331,0.0,0.0,1119.5356,553.41998,553.41998,1119.5356
E02000332,0.0,0.0,796.5121800000001,317.79689,317.79689,796.5121800000001
E02000333,0.0,0.0,738.95032,421.62642999999997,421.62642999999997,738.95032
E02000334,0.0,0.0,494.0234,243.40616,243.40616,494.0234
E02000335,0.0,0.0,303.74109,144.17193,144.17193,303.74109
E02000337,0.0,0.0,707.5857,418.33477,418.33477,707.5857
E02000339,0.0,0.0,1129.47256,1025.98075,1025.98075,1129.47256
E02000340,0.0,0.0,2597.82106,3004.14039,3004.14039,2597.82106
E02000341,0.0,0.0,440.29106,279.41731,279.41731,440.29106
E02000342,0.0,0.0,230.15537,180.98833,180.98833,230.15537
E02000343,0.0,0.0,490.74804,267.21564,267.21564,490.74804
E02000344,0.0,0.0,323.70363,315.9795,315.9795,323.70363
E02000345,287.2084482589135,448.701738824,2812.21439,2431.22289,2718.4313382589135,3260.916128824
E02000346,1540.8608867958824,4806.595932750816,3758.32906,3642.32942,5183.190306795883,8564.924992750817
E02000347,0.0,0.0,477.56194,300.28241,300.28241,477.56194
E02000348,0.0,0.0,1343.27478,1106.3550500000001,1106.3550500000001,1343.27478
E02000350,438.33896150000004,1487.6444283024,1885.89171,1362.23177,1800.5707315000002,3373.5361383024
E02000351,0.0,0.0,1083.80612,1660.24874,1660.24874,1083.80612
E02000352,0.0,0.0,718.40193,428.40802,428.40802,718.40193
E02000353,661.8633386800001,1345.5837477193802,2261.30075,1970.18737,2632.0507086800003,3606.8844977193803
E02000354,0.0,0.0,1376.06234,1069.39821,1069.39821,1376.06234
E02000355,0.0,0.0,2063.62993,1336.67621,1336.67621,2063.62993
E02000356,0.0,0.0,630.55048,368.92804,368.92804,630.55048
E02000357,0.0,0.0,910.18078,502.94717,502.94717,910.18078
E02000358,0.0,0.0,2170.5493,1620.10607,1620.10607,2170.5493
E02000359,0.0,0.0,250.92656,193.97048999999998,193.97048999999998,250.92656
E02000360,874.22391697484,1764.0470466923653,883.76765,562.77914,1437.00305697484,2647.814696692365
E02000361,2152.5469918406743,3136.071660145102,4287.99182,3949.84349,6102.3904818406745,7424.063480145102
E02000362,1496.7756021000002,2026.38401857,1329.91651,1000.96981,2497.7454121,3356.30052857
