MSOA11CD,od_origin_total,od_destination_total
E02000798,1954,2489
E02000799,1032,1012
E02000800,269,394
E02000801,1037,1304
E02000802,1172,1574
E02000803,1303,1953
E02000804,2081,1601
E02000805,938,1451
E02000806,1653,1476
E02000807,805,1834
E02000808,6891,5019
E02000809,7127,6534
E02000810,1476,2320
E02000812,4739,5053
E02000813,4976,4048
E02000814,1724,2421
E02000815,2795,2852
E02000816,1398,1453
E02000817,1021,1148
E02000818,1693,1727
E02000819,1835,1843
E02000820,1106,1348
E02000821,3051,3517
E02000822,703,630
E02000823,1701,1825
E02000824,2798,3280
E02000825,1358,1422
E02000826,1770,1671
E02000827,4801,4181
E02000828,5910,4855
E02000829,1981,2285
E02000830,1146,1338
E02000831,3662,3570
E02000832,1231,1076
E02000833,1413,1590
E02000834,1230,1168
E02000835,726,1114
E02000836,1087,1463
E02000837,1416,1602
E02000838,888,1106
E02000839,1142,1494
E02000840,740,1379
E02000841,1961,2363
E02000842,1339,1479
E02000843,1623,2333
E02000844,726,1671
E02000845,575,657
E02000846,721,881
E02000847,961,1345
E02000848,1192,1225
E02000849,826,1032
E02000850,3757,4196
E02000851,6359,4508
E02000852,670,1264
E02000853,426,804
E02000854,1704,1583
E02000855,776,493
E02000856,2278,1947
E02000857,1422,1580
E02000858,2015,2387
E02000859,680,699
E02000860,624,734
E02000861,647,721
E02000863,380,620
E02000864,1473,1606
E02000865,602,675
E02000866,1456,1431
E02000867,956,1068
E02000868,1088,1009
E02000869,398,423
E02000870,458,501
E02000871,1158,1185
E02000872,1510,1798
E02000873,1118,1126
E02000874,553,637
E02000875,517,917
E02000876,1615,1943
E02000877,1213,1119
E02000878,3823,2958
E02000879,460,582
E02000880,1023,1050
E02000881,400,607
E02000882,664,945
E02000883,976,810
E02000884,2257,1895
E02000885,480,417
E02000886,705,885
E02000887,752,775
E02000888,539,648
E02000889,322,409
E02000890,1430,1512
E02000891,2411,2118
E02000893,756,1320
E02000894,573,900
E02000895,540,716
E02000896,1294,1312
E02000897,816,1508
E02000898,601,742
E02000899,1645,1823
E02000900,1808,2000
E02000901,2081,2257
E02000902,754,879
E02000903,1199,1969
E02000904,1051,2151
E02000905,1575,1809
E02000906,723,1449
E02000907,2123,2058
E02000908,2848,2688
E02000909,781,870
E02000910,1539,1191
E02000911,7638,5041
E02000912,1331,1811
E02000913,2139,2321
E02000914,2680,3045
E02000915,949,1181
E02000916,1750,2111
E02000917,742,1203
E02000918,3849,2952
E02000919,1471,1542
E02000920,3628,3250
E02000921,1369,1848
E02000922,1686,2785
E02000923,871,745
E02000924,3575,3777
E02000925,879,977
E02000926,1086,1532
E02000927,467,554
E02000928,636,754
E02000929,975,1149
E02000930,2260,1770
E02000931,219,381
E02000932,5323,4207
E02000933,962,1217
E02000934,5499,5319
E02000935,770,1281
E02000936,895,917
E02000937,303,534
E02000938,1400,2212
E02000939,326,371
E02000940,2428,2177
E02000941,383,688
E02000942,862,897
E02000943,2306,1584
E02000944,627,1037
E02000945,1876,2368
E02000946,884,886
E02000947,459,744
E02000948,465,1116
E02000949,792,553
E02000950,576,1022
E02000951,1132,811
E02000952,615,722
E02000953,552,704
E02000954,259,389
E02000955,477,479
E02000956,2266,1825
E02000957,4302,3561
E02000958,508,711
E02000959,738,1187
E02000960,413,460
E02000961,120,134
E02000962,692,574
E02000963,458,802
E02000964,1304,1358
E02000965,228,365
E02000966,538,192
E02000967,2462,2665
E02000968,887,1190
E02000969,929,1080
E02000970,7697,6036
E02000971,2132,2411
E02000972,32605,26003
E02000973,868,829
E02000974,2620,2675
E02000975,1242,1762
E02000976,1798,2195
E02000977,41237,34562
E02000978,7201,5539
E02000979,9014,7356
E02000980,1605,1122
E02000981,868,931
E02000982,7110,7525
E02000983,866,1122
E02006782,921,1469
E02006783,1807,1648
E02006784,1793,1772
E02006785,743,825
E02006786,534,1002
E02006787,1406,1198
E02006788,512,720
E02006789,669,815
E02006791,363,579
E02006792,3709,2585
E02006793,1240,1247
E02006794,1929,1881
E02006795,1214,981
E02006796,2043,2087
E02006798,3172,2939
E02006799,2109,2313
E02006800,1723,2257
E02006801,16345,15363
E02006802,4178,4299
E02006836,265,343
E02006853,873,1010
E02006854,9491,6138
E02006882,2625,3510
E02006918,738,951
E02006921,594,804
E02006924,1459,1214
E02006925,1239,1779
E02006927,1507,1689
E02006928,1623,1676
E02006929,11035,9046
E02006930,2563,2578
E02006931,2972,2167
