lsoa,boardings_Weekday,boardings_Saturday,boardings_Sunday,alightings_Weekday,alightings_Saturday,alightings_Sunday
E01004558,162.98881,138.21471,73.74814,172.61689,130.31153999999998,91.03844999999998
E01004559,50.53481000000001,41.38867000000001,24.21315,68.66114,60.04007,44.40294
E01004560,85.51681000000002,93.34956,62.72032999999999,59.92085000000001,73.01109,46.331920000000004
E01004563,85.81832999999999,87.27258000000002,63.02442,142.3767,116.91510000000001,93.96279999999999
E01004564,404.23313,393.99307999999996,255.99069,565.3003799999999,468.03231,347.04134
E01004568,215.11572000000004,162.58254999999997,115.60110999999998,389.99478999999997,338.28904,265.40548
E01004569,910.6534300000001,797.11389,676.49764,1845.4297,1580.43569,1330.3394299999998
E01004570,93.44938999999998,73.96981,76.27552,122.37684999999999,96.67320000000001,78.45077999999998
E01004571,123.04882999999998,114.33203,83.36443999999999,316.39975999999996,248.1345,188.62131000000002
E01004572,766.7965000000002,696.7576200000001,562.39846,960.36967,858.3534900000001,639.05678
E01004573,531.78789,545.01332,253.34106000000003,738.96932,683.2334000000001,383.97201
E01004574,146.83134,133.0789,133.84368999999998,400.34911000000005,345.41597,324.43365000000006
E01004575,189.38396999999998,167.75593999999998,125.01630999999999,198.13463000000004,164.90680999999998,113.34553999999999
E01004579,229.21265999999997,235.44950999999998,149.49376999999998,477.16243999999995,433.21801,300.25407999999993
E01004582,504.15103999999997,347.69181999999995,259.22128999999995,502.38305,440.09669,326.23892
E01004583,337.56705000000005,236.52441,129.73208,482.8831400000001,405.75194999999997,319.79737
E01004585,181.50999,194.19289000000003,102.05487000000001,134.37639,111.28802999999999,94.14888
E01004586,44.678129999999996,86.73069,32.43238,87.75854999999999,84.87538999999998,50.37366
E01004588,415.6139,443.04318,170.18231999999995,403.48703,402.97079,156.23476999999997
E01004590,365.6968999999999,358.90869000000004,236.24642999999998,690.66002,613.5313399999999,424.2456900000001
E01004591,318.04128,326.4046399999999,190.60119000000006,428.13282000000015,338.74818999999997,243.26360999999997
