NLC,canonical_common_window_fri_excluded,full_window_fri_excluded,full_window_bus_aligned,cluster,Station,total_activity,log_total_activity
679,0.6157680505290177,0.6502828721867989,0.6329296273205699,0,Queensbury,11877.068243037342,9.382448973889941
680,0.7530277527261822,0.7561644878730198,0.7418060313643818,4,Queen's Park,20427.05397208017,9.924664429827887
681,1.0615998426400182,1.105522494614644,0.9970289959669562,4,Queensway,27975.420449229183,10.239117307556114
682,0.7342234441866908,0.7366411324079162,0.7059656425097741,4,Ravenscourt Park,9242.363490373617,9.131661112508366
683,0.7123658987619869,0.7163598820927058,0.6904356482617714,0,Rayners Lane,12784.465723168672,9.456064314372636
684,0.7337032487040286,0.7568547672400415,0.7247058960292767,4,Redbridge,8421.68760832539,9.038684249692814
685,0.7358475508159625,0.7361115864154197,0.7015202399993822,2,Regent's Park,6437.072090445878,8.769984409442205
686,0.8131624997076026,0.8264142695215426,0.8217437614322105,0,Richmond,53707.70708689148,10.89133041049827
687,0.6909776197001194,0.6958632679615941,0.6832934027372036,0,Rickmansworth,6072.709952377223,8.711724892140396
688,0.5384495229818994,0.5384495229818994,0.5760615147160171,0,Roding Valley,596.6864452806033,6.393066277441222
690,0.8244616878067749,0.8259084265318959,0.7946029382343825,4,Royal Oak,8826.772373898142,9.0856579824835
691,0.7415500751836699,0.7462957484732453,0.7228497517867346,0,Ruislip,4768.616259282785,8.470021131858534
692,0.741304780391877,0.7480003437669166,0.7370367995634276,0,Ruislip Gardens,3036.1771361526803,8.01868378937471
693,0.7607872967229774,0.7679114830603215,0.7294041416986938,0,Ruislip Manor,4755.907930025898,8.467353141615147
694,0.7654498593488499,0.7817060177591799,0.7503113721348057,2,Russell Square,31451.88635607055,10.356246033945105
695,0.5114076216130132,0.5115150560963386,0.5379611730375413,2,St. James's Park,24502.407275750003,10.10656745934273
696,0.6750127043449691,0.6989890803006917,0.6809964731494769,4,St. John's Wood,20073.566798526204,9.907208959430259
697,0.5553028507857228,0.5809374760350607,0.5997207262982268,2,St. Paul's,26175.806832325696,10.17262906228952
698,0.8750154607541802,0.9407384457925402,0.8661606962534557,4,Seven Sisters,54564.286584941365,10.907153182708626
700,0.9570940474835199,0.9759179330524442,0.932025388783754,2,Shepherd's Bush LU,91919.55526271428,11.428679953221476
702,0.7614885134716809,0.7616660964087965,0.7451956180818933,2,Sloane Square,47332.7993196,10.76497989264711
703,0.8065107282570418,0.832246035600825,0.7670037376784018,4,Snaresbrook,6620.203611422079,8.798032446819027
704,0.7883863542609468,0.8483171950061584,0.7981248359574884,4,South Ealing,8886.851332467684,9.092440604409509
705,0.6259515257497056,0.6282097341782299,0.6362648177351542,0,Southfields,18670.788036984148,9.834769002543746
706,0.7520730509609694,0.7871373386124442,0.7494199504062766,4,Southgate,15840.395285777417,9.670381747712375
707,0.7380016985246578,0.7408269479554042,0.7156282552728157,4,South Harrow,7950.377949424957,8.981100519600686
708,0.9117989214533849,0.924365729627154,0.8637677430599382,2,South Kensington,98068.0209588534,11.493426805251529
709,0.8555337231406491,0.8570251738445751,0.8218871545229973,0,South Kenton,3310.8413677582166,8.105259618149823
710,0.7183846948497106,0.7244584372839125,0.7174986543387305,0,South Ruislip,6022.064548700399,8.70335147002106
711,0.7721407871663303,0.8579290086327359,0.8068209616481582,4,South Wimbledon,16040.91058922382,9.682959988368376
712,0.7098897506357155,0.739729228591989,0.7101802097488226,4,South Woodford,15511.78784303364,9.649419984894854
713,0.7321862375004623,0.7361186805606591,0.7166486300155696,4,Stamford Brook,9102.10183890137,9.116370495842618
714,0.8629421375786372,0.9342567343991758,0.8832888756369115,4,Stanmore,12830.215940520426,9.459636226347387
715,0.7806685810394147,0.7831702436847917,0.7506607586406833,4,Stepney Green,21681.04390623,9.984239727227488
716,0.8957718201705254,1.0020632266503449,0.8891489831787424,4,Stockwell,35628.46484595575,10.480928238727211
717,0.7208915387294661,0.7223560403006045,0.720049266141919,4,Stonebridge Park,9571.93890046753,9.166695532440613
718,0.9848374206081091,1.0199837549490256,0.9562218707706629,1,Charing Cross LU,73131.50772776242,11.200028249045342
719,0.9470850275081976,0.9866588142267512,0.9070052077324188,4,Stratford,219531.13859923795,12.299253918087997
720,0.6434677891403059,0.6474935123300383,0.6361679901776734,0,Sudbury Hill,6285.405647843367,8.746144747226317
721,0.7319308330040909,0.7341526190228899,0.7119107927443964,4,Sudbury Town,6260.0361815950855,8.74210097461299
723,0.734842021118724,0.7646063020165019,0.7352931310113073,4,Swiss Cottage,21573.15912519433,9.979251540693578
724,0.491065196150035,0.49142376590156805,0.5092896797670721,1,Temple,27617.607928029403,10.226245024825246
725,0.6858607221618784,0.6931666199108849,0.6892683910272082,0,Theydon Bois,2574.909836962551,7.853958085432555
726,0.7570118693970967,0.808293107896737,0.7625725854383499,4,Tooting Bec,29825.42152563284,10.303149908047672
727,0.8392064311549607,0.9146035133714425,0.8291321325294688,4,Tooting Broadway,54785.52139802759,10.911199482793005
728,1.0260410223832748,1.0612857119792167,0.9263693010741774,1,Tottenham Court Road,305209.50901581504,12.628757011010032
729,1.0728287884488532,1.0950880549523396,1.007822306118001,3,Tottenham Hale LU,56937.49928264693,10.949727004366803
730,0.740155040383878,0.7759053613830811,0.7467632883793912,0,Totteridge & Whetstone,8302.475295375494,9.024429416436202
731,1.1519682628464851,1.1526170132970988,1.047768366171716,2,Tower Hill,57895.62549400264,10.966414380239204
