lsoa,cluster,max_posterior,entropy
E01000707,0,0.999999999995822,1.1380311185406517e-10
E01000708,3,1.0,5.66840902936829e-24
E01000710,3,1.0,2.5369936585528145e-38
E01000712,3,1.0,9.937573363556153e-22
E01000713,0,1.0,1.6623727660831432e-43
E01000714,1,0.9999999999999147,2.4796674432777045e-12
E01000715,0,0.9999999999286757,1.7377334417747162e-09
E01000716,0,1.0,1.0269943180413266e-39
E01000717,0,1.0,2.4572246540811893e-15
E01000718,3,1.0,5.011594025863067e-22
E01000719,0,1.0,2.669363188094804e-35
E01000722,1,0.9999999902830154,1.8898949482531885e-07
E01000724,0,1.0,1.5021614336893826e-58
E01000727,2,1.0,3.5173813151333274e-24
E01000728,2,1.0,5.884616813776886e-101
E01000730,2,1.0,5.145284283533056e-18
E01000732,0,1.0,1.349919199865558e-20
E01000735,3,1.0,6.208432737523366e-24
E01000736,0,1.0,7.382966988014504e-17
E01000737,0,1.0,4.799663256789618e-16
E01000738,3,1.0,7.366903706649759e-23
E01000741,1,0.9999999499273725,8.917829343903539e-07
E01000742,0,1.0,7.102498143495668e-20
E01000743,1,1.0,4.7864331719493514e-14
E01000744,2,1.0,2.212454213773767e-84
E01000745,2,1.0,7.961260497579628e-28
E01000747,0,1.0,7.449888974322819e-22
E01000751,3,1.0,7.456733976140261e-22
E01000752,3,1.0,4.108521386437894e-24
E01000753,0,1.0,6.596844934542353e-31
E01000754,2,1.0,3.5651729666217177e-93
E01000755,2,1.0,1.1971866766625606e-187
E01000756,3,1.0,6.043464086574351e-22
E01000757,2,1.0,1.519854572032243e-104
E01000760,2,1.0,2.0620670000899852e-69
E01000761,0,1.0,1.89045696705671e-33
E01000762,2,1.0,3.179973027039245e-182
E01000763,2,1.0,1.0514603735367354e-110
E01000765,2,1.0,2.714630029091325e-21
E01000766,0,1.0,5.7977986302711e-20
E01000767,2,1.0,7.03864290683342e-46
E01000769,0,1.0,6.041128339510062e-53
E01000770,2,1.0,2.570879558783798e-67
E01000771,3,1.0,4.110154868077444e-22
E01000772,2,1.0,2.2036153219775014e-101
E01000773,0,1.0,7.185332862679784e-30
E01000774,0,1.0,3.0123529842452696e-17
E01000775,3,1.0,1.1958437957033027e-22
